ID,Date,Conc,Morning,Day,Evening,Night,Night2,Moonlight,Moonlight_before,Temperature,Temperature_before,Rainfall,Radiation,Denning,Babysitting,Bsat_morn,Bsat_eve,nightnot,Hunt_number,Morning duration,Day duration,Evening duration,Night duration,Duration 24h ,Morning duration,Day duration,Evening duration,Night duration,Intensity 24h
WDF120,16/03/2015,WDF12042079,1,0,1,0,0,0.2832036,0.680557691,NA,NA,0,0,no,no,no,no,0,2,280,0,85,0,365,44.75357,0,37.83529,0,41.29443
WDF120,17/03/2015,WDF12042080,1,0,1,1,1,0.078306611,0.2832036,NA,NA,0,0,no,no,no,no,70,3,85,0,105,70,260,49.44706,0,48.37143,14.45714,37.42521
WDF120,18/03/2015,WDF12042081,0,0,0,1,0,0.007444231,0.078306611,NA,NA,0,0,no,no,no,no,0,1,0,0,0,200,200,0,0,0,61.765,61.765
WDF120,19/03/2015,WDF12042082,1,0,1,1,1,0,0.007444231,NA,NA,0,0,no,no,no,no,150,3,155,0,150,150,455,29.93548,0,60.92,50.88667,47.24738333
WDF120,20/03/2015,WDF12042083,1,0,1,1,1,0,0,NA,NA,0,0,no,no,no,no,105,3,175,0,80,0,255,65.17143,0,31.225,0,32.13214333
WDF120,21/03/2015,WDF12042084,1,0,1,0,0,0.047010341,0,NA,NA,0,0,no,no,no,no,0,2,230,0,195,0,425,55.47826,0,47.12821,0,51.303235
WDF120,22/03/2015,WDF12042085,0,0,1,0,0,0.212709504,0.047010341,NA,NA,0,0,no,no,no,no,0,1,0,0,90,0,90,0,0,38.44444,0,38.44444
WDF120,23/03/2015,WDF12042086,1,0,1,0,0,0.545687039,0.212709504,NA,NA,0,0,no,no,no,no,0,2,205,0,150,0,355,32.1561,0,45.61333,0,38.884715
WDF123,22/04/2014,WDF12341751,0,0,1,0,0,1.727332776,0.018685049,NA,27.63,0,0,no,no,no,no,0,1,0,0,75,330,405,0,0,49.13333,42.52121,91.65454
WDF123,23/04/2014,WDF12341752,0,1,0,1,0,0.975592983,1.727332776,NA,NA,0,0,no,no,no,no,0,2,0,220,0,0,220,0,6.186364,0,0,3.093182
WDF123,24/04/2014,WDF12341753,1,0,1,1,0,0.47264732,0.975592983,NA,NA,0,0,no,no,no,no,0,3,170,0,120,0,290,48.98824,0,40.43333,0,29.80719
WDF123,25/04/2014,WDF12341754,1,1,1,0,0,0.177631535,0.47264732,NA,NA,0,0,no,no,no,no,0,3,175,140,80,0,395,48.18857,19.9,31.85,0,33.31285667
WDF123,26/04/2014,WDF12341755,1,0,1,0,0,0.040294416,0.177631535,NA,NA,0,0,no,no,no,no,0,2,250,0,155,0,405,49.628,0,30.10968,0,39.86884
WDF123,27/04/2014,WDF12341756,1,0,1,0,0,0.001940278,0.040294416,NA,NA,0,0,no,no,no,no,0,2,225,0,75,0,300,47.32889,0,37.13333,0,42.23111
WDF123,28/04/2014,WDF12341757,1,0,1,1,0,0,0.001940278,NA,NA,0,0,no,no,no,no,0,3,240,0,110,0,350,44.8,0,18.13636,0,20.97878667
WDF123,29/04/2014,WDF12341758,0,0,1,1,0,0.001372782,0,NA,NA,0,0,no,no,no,no,0,2,0,0,160,270,430,0,0,21.44375,45.72222,33.582985
WDF123,30/04/2014,WDF12341759,1,0,1,1,0,0.055748695,0.001372782,NA,NA,0,0,no,no,no,no,0,3,285,0,135,0,420,42.14035,0,36.94074,0,26.36036333
WDF123,01/05/2014,WDF12341760,1,0,1,0,0,0.206655516,0.055748695,NA,NA,0,0,no,no,no,no,0,2,240,0,150,0,390,32.2875,0,48.88667,0,40.587085
WDF123,02/05/2014,WDF12341761,1,0,1,0,0,0.483272272,0.206655516,NA,NA,0,0,no,no,no,no,0,2,175,0,170,0,345,44.96571,0,31.30588,0,38.135795
WDF123,03/05/2014,WDF12341762,1,0,1,0,1,0.905911425,0.483272272,NA,NA,0,0,no,no,no,no,70,2,260,0,165,0,425,43.95385,0,44.52121,0,44.23753
WDF123,04/05/2014,WDF12341763,1,0,1,1,1,1.479558821,0.905911425,NA,NA,0,0,no,no,no,no,80,3,170,0,85,80,335,44.88235,0,43.12941,27.8875,38.63308667
WDF123,05/05/2014,WDF12341764,1,0,1,0,0,2.201855518,1.479558821,NA,NA,0,0,no,no,no,no,0,2,135,0,115,0,250,41.48148,0,23.1913,0,32.33639
WDF123,06/05/2014,WDF12341765,1,0,1,0,0,3.060228444,2.201855518,NA,NA,0,0,no,no,no,no,0,2,160,0,95,0,255,54.9,0,39,0,46.95
WDF123,07/05/2014,WDF12341766,1,1,1,1,1,4.04026651,3.060228444,NA,NA,0,0,no,no,no,no,90,4,175,135,130,90,530,58.02286,23.42963,43.85385,20.11111,36.3543625
WDF123,08/05/2014,WDF12341767,1,0,1,0,0,5.14052052,4.04026651,NA,NA,0,0,no,no,no,no,0,2,155,0,140,0,295,49.96129,0,46.9,0,48.430645
WDF123,28/06/2014,WDF12341818,1,0,1,0,0,0.032294286,0,NA,27.85,0,0,no,no,no,no,0,2,135,0,90,0,225,61.65185,0,41.54444,0,51.598145
WDF123,29/06/2014,WDF12341819,1,0,1,0,0,0.13557342,0.032294286,NA,NA,0,0,no,no,no,no,0,2,220,0,160,0,380,51.56364,0,46.225,0,48.89432
WDF123,30/06/2014,WDF12341820,1,0,1,0,0,0.336883637,0.13557342,NA,NA,0,0,no,no,no,no,0,2,170,0,180,0,350,35.25294,0,49.93889,0,42.595915
WDF123,01/07/2014,WDF12341821,1,0,1,0,0,0.664532515,0.336883637,NA,NA,0,0,no,no,no,no,0,2,190,0,120,0,310,55.63684,0,55.13333,0,55.385085
WDF123,06/01/2015,WDF12342010,1,0,1,1,1,9.845644979,10.92602186,NA,30.16,0,0,no,no,no,no,265,3,210,0,90,265,565,74.7381,0,37.43333,53.46792,55.21311667
WDF123,07/01/2015,WDF12342011,1,0,0,0,0,8.668531007,9.845644979,NA,NA,0,0,no,no,no,no,0,1,105,0,0,0,105,64.8,0,0,0,64.8
WDF123,08/01/2015,WDF12342012,1,0,0,0,0,7.460391281,8.668531007,NA,NA,0,0,no,no,no,no,0,1,255,0,0,0,255,46.30196,0,0,0,46.30196
WDF123,09/01/2015,WDF12342013,1,0,1,0,0,6.263346847,7.460391281,NA,NA,0,0,no,no,no,no,0,2,150,0,170,0,320,55.29333,0,44.59412,0,49.943725
WDF123,10/01/2015,WDF12342014,1,0,0,1,1,5.082032108,6.263346847,NA,NA,0,0,no,no,no,no,85,2,195,0,0,85,280,38.12308,0,0,28.90588,33.51448
WDF123,11/01/2015,WDF12342015,0,0,1,0,0,3.972043584,5.082032108,NA,NA,0,0,no,no,no,no,0,1,0,0,75,0,75,0,0,22.97333,0,22.97333
WDF123,12/01/2015,WDF12342016,0,0,1,0,0,2.961172845,3.972043584,NA,NA,0,0,no,no,no,no,0,1,0,0,120,0,120,0,0,11.54167,0,11.54167
WDF123,13/01/2015,WDF12342017,1,0,1,0,0,2.063986786,2.961172845,NA,NA,0,0,no,no,no,no,0,2,205,0,190,0,395,59.79024,0,24.5,0,42.14512
WDF123,14/01/2015,WDF12342018,1,0,1,1,1,1.31602829,2.063986786,NA,NA,0,0,no,no,no,no,130,3,140,0,75,130,345,45.43571,0,63.36,43.41538,50.73703
WDF123,09/03/2015,WDF12342072,1,0,1,1,1,7.083309963,8.39521056,NA,30.15,0,0,no,no,no,no,110,3,175,0,75,110,360,40.09714,0,45.61333,51.11818,45.60955
WDF123,10/03/2015,WDF12342073,0,0,1,1,0,5.750720779,7.083309963,NA,NA,0,0,no,no,no,no,0,2,0,0,110,195,305,0,0,33.10909,50.2359,41.672495
WDF123,11/03/2015,WDF12342074,1,0,1,1,1,4.439902376,5.750720779,NA,NA,0,0,no,no,no,no,110,3,195,0,155,55,405,49.64103,0,27.48387,51.85455,42.99315
WDF123,12/03/2015,WDF12342075,0,1,0,1,1,3.225293446,4.439902376,NA,NA,0,0,no,no,no,no,120,2,0,110,0,120,230,0,9.636364,0,47.93333,28.784847
WDF123,13/03/2015,WDF12342076,0,1,0,1,1,2.161075559,3.225293446,NA,NA,0,0,no,no,no,no,125,2,0,95,0,125,220,0,13.53684,0,53.992,33.76442
WDF123,14/03/2015,WDF12342077,0,1,1,1,1,1.304557237,2.161075559,NA,NA,0,0,no,no,no,no,105,3,0,125,185,170,480,0,23.392,39.74595,55.52941,39.55578667
WDF123,15/03/2015,WDF12342078,0,0,0,0,1,0.680557691,1.304557237,NA,NA,0,0,no,no,no,no,50,0,0,0,0,0,0,0,0,0,0,NA
WDF123,16/03/2015,WDF12342079,1,0,1,0,0,0.2832036,0.680557691,NA,NA,0,0,no,no,no,no,0,2,225,0,160,0,385,34,0,22.46875,0,28.234375
WDF123,17/03/2015,WDF12342080,1,0,0,0,0,0.078306611,0.2832036,NA,NA,0,0,no,no,no,no,0,1,185,0,0,0,185,42.1027,0,0,0,42.1027
WDF123,18/03/2015,WDF12342081,1,0,1,0,0,0.007444231,0.078306611,NA,NA,0,0,no,no,no,no,0,2,150,0,155,0,305,35.94,0,37.36774,0,36.65387
WDF123,19/03/2015,WDF12342082,1,0,1,0,1,0,0.007444231,NA,NA,0,0,no,no,no,no,160,2,165,0,80,0,245,47.41212,0,42.925,0,45.16856
WDF123,20/03/2015,WDF12342083,1,0,0,0,0,0,0,NA,NA,0,0,no,no,no,no,0,1,120,0,0,0,120,44.775,0,0,0,44.775
WDF123,21/03/2015,WDF12342084,1,0,1,0,0,0.047010341,0,NA,NA,0,0,no,no,no,no,0,2,140,0,120,0,260,29.15714,0,23.09167,0,26.124405
WDF123,22/03/2015,WDF12342085,1,0,1,0,1,0.212709504,0.047010341,NA,NA,0,0,no,no,no,no,55,2,240,0,115,0,355,36.875,0,37.42609,0,37.150545
WDF123,23/03/2015,WDF12342086,1,0,1,0,0,0.545687039,0.212709504,NA,NA,0,0,no,no,no,no,0,2,130,0,170,0,300,40.44615,0,37.98235,0,39.21425
WDF126,06/01/2015,WDF12642010,0,0,0,1,1,9.845644979,10.92602186,NA,30.16,0,0,no,no,no,no,100,1,0,0,0,100,100,0,0,0,56.35,56.35
WDF126,07/01/2015,WDF12642011,1,0,1,1,1,8.668531007,9.845644979,NA,NA,0,0,no,no,no,no,195,3,140,0,75,195,410,59.76429,0,45.94667,57.85128,54.52074667
WDF126,08/01/2015,WDF12642012,1,0,1,0,0,7.460391281,8.668531007,NA,NA,0,0,no,no,no,no,0,2,115,0,90,110,315,16.63478,0,52.55556,49.07273,59.131535
WDF126,09/01/2015,WDF12642013,1,0,1,1,1,6.263346847,7.460391281,NA,NA,0,0,no,no,no,no,110,3,180,0,80,0,260,32.58889,0,50.925,0,27.83796333
WDF126,10/01/2015,WDF12642014,1,1,0,0,0,5.082032108,6.263346847,NA,NA,0,0,no,no,no,no,0,2,290,100,0,120,510,26.79655,24.68,0,45.025,48.250775
WDF126,11/01/2015,WDF12642015,0,0,0,1,1,3.972043584,5.082032108,NA,NA,0,0,no,no,no,no,120,1,0,0,0,0,0,0,0,0,0,0
WDF126,12/01/2015,WDF12642016,1,0,1,1,1,2.961172845,3.972043584,NA,NA,0,0,no,no,no,no,110,3,165,0,140,110,415,59.67273,0,34.37857,52.74545,48.93225
WDF126,13/01/2015,WDF12642017,0,0,1,1,0,2.063986786,2.961172845,NA,NA,0,0,no,no,no,no,0,2,0,0,110,235,345,0,0,35.07273,59.17447,47.1236
WDF126,14/01/2015,WDF12642018,1,0,1,1,1,1.31602829,2.063986786,NA,NA,0,0,no,no,no,no,120,3,155,0,130,0,285,57.75484,0,35.81538,0,31.19007333
WDF126,09/03/2015,WDF12642072,1,0,0,1,1,7.083309963,8.39521056,NA,30.15,0,0,no,no,no,no,125,2,155,0,0,195,350,26.25806,0,0,42.01538,34.13672
WDF126,10/03/2015,WDF12642073,1,0,0,1,1,5.750720779,7.083309963,NA,NA,0,0,no,no,no,no,195,2,155,0,0,0,155,36.63226,0,0,0,18.31613
WDF126,11/03/2015,WDF12642074,1,1,1,0,0,4.439902376,5.750720779,NA,NA,0,0,no,no,no,no,0,3,205,165,70,130,570,64.18537,6.715152,39.97143,49.64615,53.506034
WDF126,12/03/2015,WDF12642075,1,0,1,1,1,3.225293446,4.439902376,NA,NA,0,0,no,no,no,no,130,3,165,0,170,0,335,40.2,0,29.76471,0,23.32157
WDF126,13/03/2015,WDF12642076,1,0,0,0,0,2.161075559,3.225293446,NA,NA,0,0,no,no,no,no,0,1,155,0,0,0,155,39.35484,0,0,0,39.35484
WDF126,14/03/2015,WDF12642077,1,0,0,0,0,1.304557237,2.161075559,NA,NA,0,0,no,no,no,no,0,1,255,0,0,0,255,37.12549,0,0,0,37.12549
WDF126,15/03/2015,WDF12642078,1,0,1,0,1,0.680557691,1.304557237,NA,NA,0,0,no,no,no,no,105,2,160,0,150,50,360,30.35,0,45.22667,29.44,52.508335
WDF126,16/03/2015,WDF12642079,1,0,0,1,1,0.2832036,0.680557691,NA,NA,0,0,no,no,no,no,50,2,110,0,0,25,135,34.04545,0,0,47.44,40.742725
WDF126,17/03/2015,WDF12642080,1,0,1,1,1,0.078306611,0.2832036,NA,NA,0,0,no,no,no,no,40,3,155,0,105,40,300,56.42581,0,44.4381,34.3,45.05463667
WDF126,18/03/2015,WDF12642081,1,0,0,0,0,0.007444231,0.078306611,NA,NA,0,0,no,no,no,no,0,1,105,0,0,0,105,26.30476,0,0,0,26.30476
WDF126,19/03/2015,WDF12642082,1,0,1,0,0,0,0.007444231,NA,NA,0,0,no,no,no,no,0,2,195,0,115,0,310,34.13846,0,31.22609,0,32.682275
WDF126,20/03/2015,WDF12642083,1,1,1,0,0,0,0,NA,NA,0,0,no,no,no,no,0,3,175,320,90,0,585,41.41714,6.925,23.13333,0,23.82515667
WDF126,21/03/2015,WDF12642084,0,0,0,1,0,0.047010341,0,NA,NA,0,0,no,no,no,no,0,1,0,0,0,445,445,0,0,0,43.46517,43.46517
WDF126,22/03/2015,WDF12642085,1,0,1,1,1,0.212709504,0.047010341,NA,NA,0,0,no,no,no,no,105,3,170,0,85,0,255,52.49412,0,39.36471,0,30.61961
WDF126,23/03/2015,WDF12642086,1,0,0,0,0,0.545687039,0.212709504,NA,NA,0,0,no,no,no,no,0,1,200,0,0,0,200,74.315,0,0,0,74.315
WDF96,03/04/2012,WDF9641002,1,0,0,1,1,8.548394317,7.210739131,NA,29.83,0.51,NA,no,no,no,no,225,2,0,0,0,0,NA,0,0,0,0,NA
WDF96,04/04/2012,WDF9641003,1,0,0,0,0,9.801962362,8.548394317,NA,NA,0,NA,no,no,no,no,0,1,0,0,0,0,NA,0,0,0,0,NA
WDF96,05/04/2012,WDF9641004,1,1,1,1,1,10.88165996,9.801962362,NA,NA,0,NA,no,no,no,no,115,4,0,0,0,0,NA,0,0,0,0,NA
WDF96,06/04/2012,WDF9641005,1,0,1,0,0,11.10436922,10.88165996,NA,NA,0,NA,no,no,no,no,0,2,0,0,0,0,NA,0,0,0,0,NA
