Date,Temp,Period
25/11/2001,27.2,A
26/11/2001,23.92,A
27/11/2001,25.39,A
28/11/2001,26.99,A
29/11/2001,27.28,A
30/11/2001,27.81,A
01/12/2001,26.62,A
02/12/2001,26.35,A
03/12/2001,26.42,A
04/12/2001,26.86,A
05/12/2001,27.86,A
06/12/2001,27.03,A
07/12/2001,25.74,A
08/12/2001,25.55,A
09/12/2001,25.93,A
10/12/2001,27.57,A
11/12/2001,27.96,A
12/12/2001,25.34,A
13/12/2001,25.01,A
14/12/2001,25.35,A
15/12/2001,24.49,A
16/12/2001,25.36,A
17/12/2001,25.9,A
18/12/2001,26.42,A
19/12/2001,24.89,A
20/12/2001,26.87,A
21/12/2001,27.06,A
22/12/2001,25.84,A
23/12/2001,27.07,A
24/12/2001,27.56,A
25/12/2001,28.43,A
26/12/2001,27.31,A
27/12/2001,28.5,A
28/12/2001,26.11,A
29/12/2001,26.17,A
30/12/2001,26.58,A
31/12/2001,27.47,A
01/01/2002,28.33,A
02/01/2002,28.25,A
03/01/2002,27.57,A
04/01/2002,27.78,A
05/01/2002,26.79,A
06/01/2002,26.58,A
07/01/2002,26.45,A
08/01/2002,28.09,A
09/01/2002,29.62,A
10/01/2002,29.76,A
11/01/2002,28.14,A
12/01/2002,28.7,A
13/01/2002,31.3,A
14/01/2002,27.63,A
15/01/2002,24.33,A
16/01/2002,26.57,A
17/01/2002,27.51,A
18/01/2002,26.18,A
19/01/2002,27.42,A
20/01/2002,28.84,A
21/01/2002,28.86,A
22/01/2002,29.24,A
23/01/2002,30.65,A
24/01/2002,28.13,A
25/01/2002,28.56,A
26/01/2002,27.47,A
27/01/2002,27.31,A
28/01/2002,27.74,A
29/01/2002,27.07,A
30/01/2002,27.86,A
31/01/2002,28.31,A
01/02/2002,27.23,A
02/02/2002,26.61,A
03/02/2002,27.88,A
04/02/2002,28.98,A
05/02/2002,29.31,A
06/02/2002,27.74,A
07/02/2002,29.46,A
08/02/2002,31.78,A
09/02/2002,31.23,A
10/02/2002,30.21,A
11/02/2002,31.63,A
12/02/2002,31.88,A
13/02/2002,31.1,A
14/02/2002,30.51,A
15/02/2002,31,A
16/02/2002,29.97,A
17/02/2002,30.46,A
18/02/2002,29.62,A
19/02/2002,28.49,A
20/02/2002,28.72,A
21/02/2002,29.11,A
22/02/2002,27.47,A
23/02/2002,26.38,A
24/02/2002,26.33,A
25/02/2002,29.33,A
26/02/2002,29.55,A
27/02/2002,29.74,A
28/02/2002,29.91,A
01/03/2002,29.95,A
02/03/2002,30.52,A
03/03/2002,30.69,A
04/03/2002,27.96,A
05/03/2002,27.46,A
06/03/2002,27.28,A
07/03/2002,27.88,A
08/03/2002,31.25,A
09/03/2002,31.75,A
10/03/2002,30.13,A
11/03/2002,23.84,A
12/03/2002,26.48,A
13/03/2002,27.42,A
14/03/2002,27.28,A
15/03/2002,28.56,A
16/03/2002,27.47,A
17/03/2002,28.8,A
18/03/2002,30.68,A
19/03/2002,29.87,A
20/03/2002,28.52,A
21/03/2002,25.43,A
22/03/2002,27.56,A
23/03/2002,28.43,A
24/03/2002,28.86,A
25/03/2002,29.33,A
26/03/2002,30.18,A
27/03/2002,30.6,A
28/03/2002,29.76,A
29/03/2002,30.47,A
30/03/2002,30.12,A
31/03/2002,29.59,A
01/04/2002,29.45,A
02/04/2002,27.66,A
03/04/2002,27.48,A
04/04/2002,29.45,A
05/04/2002,29.04,A
06/04/2002,29.48,A
07/04/2002,27.84,A
08/04/2002,27.6,A
09/04/2002,28.54,A
10/04/2002,30.64,A
11/04/2002,31.42,A
12/04/2002,30.24,A
13/04/2002,28.01,A
14/04/2002,28.25,A
15/04/2002,23.7,A
16/04/2002,26.37,A
17/04/2002,25.54,A
18/04/2002,26.61,A
19/04/2002,26.63,A
20/04/2002,27.45,A
21/04/2002,28.66,A
22/04/2002,28.42,A
23/04/2002,25.99,A
24/04/2002,27.46,A
25/04/2002,26.94,A
26/04/2002,26.95,A
27/04/2002,29.12,A
28/04/2002,26.7,A
29/04/2002,25.71,A
30/04/2002,23.65,A
01/05/2002,28.06,A
02/05/2002,28.56,A
03/05/2002,29.36,A
04/05/2002,30.22,A
05/05/2002,27.91,A
06/05/2002,27.52,A
07/05/2002,29.88,A
08/05/2002,25.38,A
09/05/2002,30.53,A
10/05/2002,28.59,A
11/05/2002,27.35,A
12/05/2002,28.7,A
13/05/2002,28.86,A
14/05/2002,27.43,A
15/05/2002,29.45,A
16/05/2002,29.57,A
17/05/2002,29.33,A
18/05/2002,27.35,A
19/05/2002,26.17,A
20/05/2002,25.31,A
21/05/2002,26.83,A
22/05/2002,26.4,A
23/05/2002,29.98,A
24/05/2002,29.71,A
25/05/2002,28.27,A
26/05/2002,26.72,A
27/05/2002,28.19,A
28/05/2002,27.71,A
29/05/2002,27.91,A
30/05/2002,27.35,A
31/05/2002,29.59,A
01/06/2002,29.92,A
02/06/2002,28.88,A
03/06/2002,29.27,A
04/06/2002,30.44,A
05/06/2002,27.77,A
06/06/2002,28.31,A
07/06/2002,27.03,A
08/06/2002,25.21,A
09/06/2002,28.02,A
10/06/2002,30.82,A
11/06/2002,28.5,A
12/06/2002,30.13,A
13/06/2002,30.25,A
14/06/2002,28.65,A
15/06/2002,28.08,A
16/06/2002,27.39,A
17/06/2002,23.81,A
18/06/2002,26.71,A
19/06/2002,28.05,A
20/06/2002,29.12,A
21/06/2002,27.17,A
22/06/2002,28.03,A
23/06/2002,28.91,A
24/06/2002,29.07,A
25/06/2002,28.33,A
26/06/2002,30.13,A
27/06/2002,31.28,A
28/06/2002,28.43,A
29/06/2002,28.57,A
30/06/2002,29.65,A
01/07/2002,30.24,A
02/07/2002,27.64,A
03/07/2002,26.48,A
04/07/2002,29.26,A
05/07/2002,28.03,A
06/07/2002,26.9,A
07/07/2002,26.75,A
08/07/2002,29.18,A
09/07/2002,29.7,A
10/07/2002,30.56,A
11/07/2002,31.28,A
12/07/2002,30.44,A
13/07/2002,30.03,A
14/07/2002,30.24,A
15/07/2002,30.4,A
16/07/2002,30.92,A
17/07/2002,29.85,A
18/07/2002,38.03,A
19/07/2002,31.83,A
20/07/2002,29.37,A
21/07/2002,28.47,A
22/07/2002,28.29,A
23/07/2002,28.61,A
24/07/2002,29.42,A
25/07/2002,29.39,A
26/07/2002,28.66,A
27/07/2002,30.83,A
28/07/2002,27.52,A
29/07/2002,25.35,A
30/07/2002,28.83,A
31/07/2002,26.53,A
01/08/2002,24.7,A
02/08/2002,29.14,A
03/08/2002,30,A
04/08/2002,26.83,A
05/08/2002,26.91,A
06/08/2002,27.71,A
07/08/2002,28.83,A
08/08/2002,26.56,A
09/08/2002,27.32,A
10/08/2002,28.65,A
11/08/2002,24.29,A
12/08/2002,25.21,A
13/08/2002,27.99,A
14/08/2002,28.61,A
15/08/2002,28.94,A
16/08/2002,30.56,A
17/08/2002,29.98,A
18/08/2002,28.02,A
19/08/2002,27.42,A
20/08/2002,27.87,A
21/08/2002,28.88,A
22/08/2002,27.35,A
23/08/2002,27.23,A
24/08/2002,28.19,A
25/08/2002,24.95,A
26/08/2002,28.4,A
27/08/2002,28.2,A
28/08/2002,29.45,A
29/08/2002,29.48,A
30/08/2002,29.15,A
31/08/2002,29.95,A
01/09/2002,27.57,A
02/09/2002,27.42,A
03/09/2002,28.4,A
04/09/2002,28.7,A
05/09/2002,29.24,A
06/09/2002,29.62,A
07/09/2002,29.39,A
08/09/2002,28.6,A
09/09/2002,29.39,A
10/09/2002,31,A
11/09/2002,30.01,A
12/09/2002,29.46,A
13/09/2002,29.32,A
14/09/2002,28.09,A
15/09/2002,26.99,A
16/09/2002,27.71,A
17/09/2002,28.12,A
18/09/2002,26.05,A
19/09/2002,26.8,A
20/09/2002,26.88,A
21/09/2002,29.22,A
22/09/2002,29.36,A
23/09/2002,29.01,A
24/09/2002,28.92,A
25/09/2002,29.61,A
26/09/2002,28.65,A
27/09/2002,30.96,A
28/09/2002,29.91,A
29/09/2002,29.21,A
30/09/2002,29.6,A
01/10/2002,30.5,A
02/10/2002,27.87,A
03/10/2002,27.27,A
04/10/2002,26.98,A
05/10/2002,28.62,A
06/10/2002,27.87,A
07/10/2002,28.53,A
08/10/2002,29.23,A
09/10/2002,29.88,A
10/10/2002,27.85,A
11/10/2002,27.77,A
12/10/2002,29.01,A
13/10/2002,29.29,A
14/10/2002,28.53,A
15/10/2002,29.97,A
16/10/2002,29.02,A
17/10/2002,29.76,A
18/10/2002,29.7,A
19/10/2002,28.42,A
20/10/2002,29.29,A
21/10/2002,29.01,A
22/10/2002,29.07,A
23/10/2002,29.07,A
24/10/2002,29.57,A
25/10/2002,27.65,A
26/10/2002,26.77,A
27/10/2002,25.05,A
28/10/2002,26.26,A
29/10/2002,23.44,A
30/10/2002,25.66,A
31/10/2002,26.79,A
01/11/2002,26.94,A
02/11/2002,27.31,A
03/11/2002,28.39,A
04/11/2002,26.75,A
05/11/2002,25.86,A
06/11/2002,22.64,A
07/11/2002,22.34,A
08/11/2002,25.03,A
09/11/2002,27.01,A
10/11/2002,26.45,A
11/11/2002,27.27,A
12/11/2002,27.85,A
13/11/2002,28.41,A
14/11/2002,28.82,A
15/11/2002,27.87,A
16/11/2002,27.36,A
17/11/2002,26.83,A
18/11/2002,26.58,A
19/11/2002,26.53,A
20/11/2002,27.41,A
21/11/2002,28.85,A
22/11/2002,27.47,A
23/11/2002,27.03,A
24/11/2002,27.18,A
25/11/2002,27.57,A
26/11/2002,28.23,A
27/11/2002,27.7,A
28/11/2002,26.64,A
29/11/2002,25.89,A
30/11/2002,26.04,A
01/12/2002,27.87,A
02/12/2002,27.95,A
03/12/2002,26.82,A
04/12/2002,24.49,A
05/12/2002,24.51,A
06/12/2002,25.47,A
07/12/2002,26.13,A
08/12/2002,26.56,A
09/12/2002,21.69,A
10/12/2002,23.23,A
11/12/2002,25.29,A
12/12/2002,25.45,A
13/12/2002,26.1,A
14/12/2002,26.72,A
15/12/2002,26.76,A
16/12/2002,27.67,A
17/12/2002,27.2,A
18/12/2002,28.25,A
19/12/2002,29,A
20/12/2002,29.28,A
21/12/2002,27.42,A
22/12/2002,26.64,A
23/12/2002,27.99,A
24/12/2002,28.33,A
25/12/2002,27.82,A
26/12/2002,27.16,A
27/12/2002,25.91,A
28/12/2002,27.12,A
29/12/2002,27.79,A
30/12/2002,26.57,A
31/12/2002,26.65,A
01/01/2003,27.17,A
02/01/2003,27.25,A
03/01/2003,27.61,A
04/01/2003,27.99,A
05/01/2003,27.45,A
06/01/2003,24.98,A
07/01/2003,25.34,A
08/01/2003,27.35,A
09/01/2003,29.11,A
10/01/2003,29.42,A
11/01/2003,27.03,A
12/01/2003,26.6,A
13/01/2003,26.74,A
14/01/2003,29.77,A
15/01/2003,28.62,A
16/01/2003,28.37,A
17/01/2003,28.38,A
18/01/2003,29.03,A
19/01/2003,27.64,A
20/01/2003,27.38,A
21/01/2003,28.75,A
22/01/2003,28.42,A
23/01/2003,27.78,A
24/01/2003,28.45,A
25/01/2003,30.01,A
26/01/2003,30.96,A
27/01/2003,30.24,A
28/01/2003,29.74,A
29/01/2003,29.79,A
30/01/2003,29.04,A
31/01/2003,28.49,A
01/02/2003,29.13,A
02/02/2003,28.62,A
03/02/2003,28.06,A
04/02/2003,31.35,A
05/02/2003,32.64,A
06/02/2003,32.07,A
07/02/2003,30.5,A
08/02/2003,29.12,A
09/02/2003,31.1,A
10/02/2003,31.91,A
11/02/2003,31.8,A
12/02/2003,29.42,A
13/02/2003,31.03,A
14/02/2003,31.52,A
15/02/2003,31.38,A
16/02/2003,29.88,A
17/02/2003,29.48,A
18/02/2003,29.31,A
19/02/2003,30.62,A
20/02/2003,30.31,A
21/02/2003,28.88,A
22/02/2003,28.4,A
23/02/2003,30.38,A
24/02/2003,30.51,A
25/02/2003,30.06,A
26/02/2003,29.77,A
27/02/2003,30.83,A
28/02/2003,31.69,A
01/03/2003,29.48,A
02/03/2003,29.02,A
03/03/2003,28.05,A
04/03/2003,28.92,A
05/03/2003,29.59,A
06/03/2003,30.94,A
07/03/2003,30.97,A
08/03/2003,29.15,A
09/03/2003,30.53,A
10/03/2003,30.07,A
11/03/2003,31.2,A
12/03/2003,31.31,A
13/03/2003,31.46,A
14/03/2003,30.15,A
15/03/2003,28.67,A
16/03/2003,29.4,A
17/03/2003,30.5,A
18/03/2003,30,A
19/03/2003,30.06,A
20/03/2003,29.58,A
21/03/2003,31.19,A
22/03/2003,31.03,A
23/03/2003,30.82,A
