ID	LocalDate	LocalTime	ActivityX	ActivityY	Temp
WDM131	06/08/2014	04:30:00	5	115	21
WDM131	06/08/2014	04:35:00	6	115	21
WDM131	06/08/2014	04:40:00	7	117	21
WDM131	06/08/2014	04:45:00	6	117	22
WDM131	06/08/2014	04:50:00	6	117	22
WDM131	06/08/2014	04:55:00	7	119	23
WDM131	06/08/2014	05:00:00	7	117	23
WDM131	06/08/2014	05:05:00	8	118	23
WDM131	06/08/2014	05:10:00	6	119	24
WDM131	06/08/2014	05:15:00	8	123	24
WDM131	06/08/2014	05:20:00	6	122	25
WDM131	06/08/2014	05:25:00	8	123	25
WDM131	06/08/2014	05:30:00	6	125	25
WDM131	06/08/2014	05:35:00	7	121	25
WDM131	06/08/2014	05:40:00	8	120	26
WDM131	06/08/2014	05:45:00	7	123	26
WDM131	06/08/2014	05:50:00	7	123	27
WDM131	06/08/2014	05:55:00	7	126	27
WDM131	06/08/2014	06:00:00	5	128	28
WDM131	06/08/2014	06:05:00	5	125	28
WDM131	06/08/2014	06:10:00	5	126	28
WDM131	06/08/2014	06:15:00	3	127	29
WDM131	06/08/2014	06:20:00	6	127	29
WDM131	06/08/2014	06:25:00	5	129	29
WDM131	06/08/2014	06:30:00	6	128	30
WDM131	06/08/2014	06:35:00	6	128	30
WDM131	06/08/2014	06:40:00	4	135	30
WDM131	06/08/2014	06:45:00	4	133	31
WDM131	06/08/2014	06:50:00	4	136	31
WDM131	06/08/2014	06:55:00	2	135	32
WDM131	06/08/2014	07:00:00	2	134	32
WDM131	06/08/2014	07:05:00	2	139	32
WDM131	06/08/2014	07:10:00	1	137	33
WDM131	06/08/2014	07:15:00	4	149	33
WDM131	06/08/2014	07:20:00	11	157	33
WDM131	06/08/2014	07:25:00	11	155	34
WDM131	06/08/2014	07:30:00	2	72	34
WDM131	06/08/2014	07:35:00	11	105	35
WDM131	06/08/2014	07:40:00	12	117	35
WDM131	06/08/2014	07:45:00	18	135	35
WDM131	06/08/2014	07:50:00	0	0	35
WDM131	06/08/2014	07:55:00	0	0	36
WDM131	06/08/2014	08:00:00	0	0	37
WDM131	06/08/2014	08:05:00	0	0	37
WDM131	06/08/2014	08:10:00	0	0	37
WDM131	06/08/2014	08:15:00	0	0	37
WDM131	06/08/2014	08:20:00	0	0	38
WDM131	06/08/2014	08:25:00	0	0	38
WDM131	06/08/2014	08:30:00	0	0	39
WDM131	06/08/2014	08:35:00	0	0	39
WDM131	06/08/2014	08:40:00	0	0	39
WDM131	06/08/2014	08:45:00	0	0	40
WDM131	06/08/2014	08:50:00	0	0	40
WDM131	06/08/2014	08:55:00	0	0	40
WDM131	06/08/2014	09:00:00	0	0	41
WDM131	06/08/2014	09:05:00	0	0	41
WDM131	06/08/2014	09:10:00	0	0	42
