Dog,ID,UTC.Date,UTC.Time,ActivityX,ActivityY,LocalDate,LocalDate2,LocalTime,timedate,conc,timedate.local,Duration,SumAct,SSDateTime,SSDate,SSTime,Bout,Intensity,PartOfDay,Stop.time.or.start,StopTime_Previous,Pack,Dusk,Dawn,Moonlight,Moonlight_before,Babysit,Babysit morning,Babysit evening,Denning,Temperature,Temp_cent,Rainfall,n
96,WDF96,25/04/2008,03:30:00,1,5,25/04/2008,26/04/2012,06:30:00,25/04/2008 03:30,WDF9641025,25/04/2008 06:30,205,8377,25/04/2008 06:30,25/04/2008,06:30:00,Start,40.86341463,Morning,09:55:00,25/04/2008 06:05,Loisaba,26/04/2012 06:06,26/04/2012 18:56,1.242187908,10.26190263,no,no,no,No,30.57,2.895262396,11.43,1
96,WDF96,29/01/2009,02:55:00,151,169,29/01/2009,30/01/2013,05:55:00,29/01/2009 02:55,WDF9641304,29/01/2009 05:55,150,6910,29/01/2009 05:55,29/01/2009,05:55:00,Start,46.06667,Morning,08:25:00,29/01/2009 05:20,Loisaba,30/01/2013 06:22,30/01/2013 19:11,7.387511977,3.76923357,no,no,no,No,30.56,2.885262396,0,1
96,WDF96,14/04/2008,03:00:00,18,20,14/04/2008,15/04/2012,06:00:00,14/04/2008 03:00,WDF9641014,14/04/2008 06:00,175,7199,14/04/2008 06:00,14/04/2008,06:00:00,Start,41.13714286,Morning,08:55:00,14/04/2008 05:45,Loisaba,15/04/2012 06:08,15/04/2012 18:58,0.69453335,10.33471344,no,no,no,No,30.48,2.805262396,0,1
96,WDF96,21/03/2008,02:30:00,15,20,21/03/2008,22/03/2012,05:30:00,21/03/2008 02:30,WDF9640990,21/03/2008 05:30,170,7590,21/03/2008 05:30,21/03/2008,05:30:00,Start,44.64705882,Morning,08:20:00,21/03/2008 05:15,Loisaba,22/03/2012 06:16,22/03/2012 19:04,0,0.424737717,no,no,no,No,30.47,2.795262396,0,1
96,WDF96,17/04/2008,03:10:00,21,21,17/04/2008,18/04/2012,06:10:00,17/04/2008 03:10,WDF9641017,17/04/2008 06:10,160,7160,17/04/2008 06:10,17/04/2008,06:10:00,Start,44.75,Morning,08:50:00,17/04/2008 05:55,Loisaba,18/04/2012 06:08,18/04/2012 18:57,0.035513539,0.01741085,no,no,no,No,30.4,2.725262396,8.89,1
96,WDF96,22/03/2008,03:05:00,26,37,22/03/2008,23/03/2012,06:05:00,22/03/2008 03:05,WDF9640991,22/03/2008 06:05,170,9141,22/03/2008 06:05,22/03/2008,06:05:00,Start,53.77058824,Morning,08:55:00,22/03/2008 05:05,Loisaba,23/03/2012 06:16,23/03/2012 19:04,0.010993326,5.185550042,no,no,no,No,30.33,2.655262396,0,1
96,WDF96,31/03/2008,03:50:00,54,54,31/03/2008,01/04/2012,06:50:00,31/03/2008 03:50,WDF9641000,31/03/2008 06:50,105,3020,31/03/2008 06:50,31/03/2008,06:50:00,Start,28.76190476,Morning,08:35:00,31/03/2008 06:25,Loisaba,01/04/2012 06:13,01/04/2012 19:01,5.8724446,0.055343183,no,no,no,No,30.23,2.555262396,0,1
96,WDF96,07/05/2008,03:05:00,75,108,07/05/2008,08/05/2012,06:05:00,07/05/2008 03:05,WDF9641037,07/05/2008 06:05,255,9564,07/05/2008 06:05,07/05/2008,06:05:00,Start,37.50588235,Morning,10:20:00,07/05/2008 05:10,Loisaba,08/05/2012 06:04,08/05/2012 18:55,7.739126748,6.986910387,no,no,no,No,30.17,2.495262396,19.81,1
96,WDF96,19/03/2008,03:10:00,91,72,19/03/2008,20/03/2012,06:10:00,19/03/2008 03:10,WDF9640988,19/03/2008 06:10,180,6848,19/03/2008 06:10,19/03/2008,06:10:00,Start,38.04444444,Morning,09:10:00,19/03/2008 04:55,Loisaba,20/03/2012 06:17,20/03/2012 19:05,0.008329057,2.081377299,no,no,no,No,30.16,2.485262396,0,1
96,WDF96,05/05/2008,03:15:00,0,1,05/05/2008,06/05/2012,06:15:00,05/05/2008 03:15,WDF9641035,05/05/2008 06:15,145,6099,05/05/2008 06:15,05/05/2008,06:15:00,Start,42.06206897,Morning,08:40:00,05/05/2008 05:10,Loisaba,06/05/2012 06:04,06/05/2012 18:55,10.83340689,0.079713778,no,no,no,No,30.14,2.465262396,0,1
